kato,kato_version,level,type_code,name_ru,name_kk
100000000,NK RK 11-2025,oblast,0,область Абай,Абай облысы
101000000,NK RK 11-2025,district,1,Семей Г.А.,Семей Қ.Ә.
101010000,NK RK 11-2025,sub_district,1,г.Семей,Семей қ.
101800000,NK RK 11-2025,district,1,Курчатов Г.А.,Курчатов Қ.Ә.
101810000,NK RK 11-2025,sub_district,1,г.Курчатов,Курчатов қ.
103200000,NK RK 11-2025,district,2,Абайский район,Абай ауданы
103230000,NK RK 11-2025,sub_district,2,Карааульский с.о.,Қараауыл а.о.
103230100,NK RK 11-2025,settlement,2,с.Карааул,Қараауыл а.
103233000,NK RK 11-2025,sub_district,2,Кенгирбайбийский с.о,Кеңгірбай би а.о.
103233100,NK RK 11-2025,settlement,2,с.Кенгирбай би,Кеңгірбай би а.
103233127,NK RK 11-2025,settlement,2,с.Жидебай,Жидебай а.
103235000,NK RK 11-2025,sub_district,2,Архатский с.о.,Арқат а.о.
103235100,NK RK 11-2025,settlement,2,с.Архат,Арқат а.
103235500,NK RK 11-2025,settlement,2,с.Орда,Орда а.
103239000,NK RK 11-2025,sub_district,2,Каскабулакский с.о.,Қасқабұлақ а.о.
103239100,NK RK 11-2025,settlement,2,с.Каскабулак,Қасқабұлақ а.
103239400,NK RK 11-2025,settlement,2,с.Борлы,Борлы а.
103243000,NK RK 11-2025,sub_district,2,Кундыздинский с.о.,Құндызды а.о.
103243100,NK RK 11-2025,settlement,2,с.Журекадыр,Жүрекадыр а.
103243134,NK RK 11-2025,settlement,2,с.Мендеке,Мендеке а.
103243135,NK RK 11-2025,settlement,2,с.Жанаарна,Жаңаарна а.
103245000,NK RK 11-2025,sub_district,2,Медеуский с.о.,Медеу а.о.
103245100,NK RK 11-2025,settlement,2,с.Медеу,Медеу а.
103247000,NK RK 11-2025,sub_district,2,Кокбайский с.о.,Көкбай а.о.
103247100,NK RK 11-2025,settlement,2,с.Кокбай,Көкбай а.
103247117,NK RK 11-2025,settlement,2,с.Баянкар,Баянқар а.
103247164,NK RK 11-2025,settlement,2,с.Рамазан,Рамазан а.
103249000,NK RK 11-2025,sub_district,2,Токтамысский с.о,Тоқтамыс а.о.
103249100,NK RK 11-2025,settlement,2,с.Токтамыс,Тоқтамыс а.
103253000,NK RK 11-2025,sub_district,2,Сарыжалский с.о.,Сарыжал а.о.
103253100,NK RK 11-2025,settlement,2,с.Сарыжал,Сарыжал а.
103400000,NK RK 11-2025,district,2,район Ақсуат,Ақсуат ауданы
103430000,NK RK 11-2025,sub_district,2,Аксуатский с.о.,Ақсуат а.о.
103430100,NK RK 11-2025,settlement,2,с.Аксуат,Ақсуат а.
103430115,NK RK 11-2025,settlement,2,с.Училище,Училище а.
103433000,NK RK 11-2025,sub_district,2,Екпинский с.о.,Екпін а.о.
103433100,NK RK 11-2025,settlement,2,с.Екпин,Екпін а.
103433103,NK RK 11-2025,settlement,2,с.Жанатилек,Жаңатілек а.
103433104,NK RK 11-2025,settlement,2,с.Кызылкайын,Қызылқайың а.
103433106,NK RK 11-2025,settlement,2,Лагерь,Лагер
103433107,NK RK 11-2025,settlement,2,с.Суттиген,Сүттиген а.
103433108,NK RK 11-2025,settlement,2,Туйебаз,Түйебаз
