kato,kato_version,name_ru,name_kk,rate,base_rate,valid_from,valid_to,decision_ref,source_url,extraction_method
101000000,NK RK 11-2025,Семей Г.А.,Семей Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Семей области Абай от 26 ноября 2025 года № 51/272-VIII,https://adilet.zan.kz/rus/docs/G25FA51272M,deterministic-readers
101800000,NK RK 11-2025,Курчатов Г.А.,Курчатов Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Курчатовского городского маслихата области Абай от 25 ноября 2025 года № 33/213-VIII,https://adilet.zan.kz/rus/docs/G25FB33213M,deterministic-readers
103200000,NK RK 11-2025,Абайский район,Абай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Абайского районного маслихата области Абай от 26 ноября 2025 года № 33/3-,https://adilet.zan.kz/rus/docs/G25FD00333M,deterministic-readers
103600000,NK RK 11-2025,Аягозский район,Аягөз ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Аягозского районного маслихата области Абай от 26 ноября 2025 года № 30/,https://adilet.zan.kz/rus/docs/G25FE30522M,deterministic-readers
103800000,NK RK 11-2025,Бескарагайский район,Бесқарағай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Бескарагайского районного маслихата области Абай от 25 ноября 2025 года № 34/5-VIII,https://adilet.zan.kz/rus/docs/G25FF00345M,deterministic-readers
104000000,NK RK 11-2025,Бородулихинский район,Бородулиха ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Бородулихинского районного маслихата области Абай от 24 ноября 2025 года № 38-2-VIII,https://adilet.zan.kz/rus/docs/G25FG00382M,deterministic-readers
104100000,NK RK 11-2025,район Жаңасемей,Жаңасемей ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата района Жаңасемей области Абай от 27 ноября 2025 года № 22/251-,https://adilet.zan.kz/rus/docs/G25FL22251M,deterministic-readers
104200000,NK RK 11-2025,Жарминский район,Жарма ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Жарминского районного маслихата области Абай от 27 ноября 2025 года № 31/524-VIІІ,https://adilet.zan.kz/rus/docs/G25FH31524M,deterministic-readers
104400000,NK RK 11-2025,Кокпектинский район,Көкпекті ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Кокпектинского районного маслихата области Абай от 25 ноября 2025 года № 34-2,https://adilet.zan.kz/rus/docs/G25FJ00342M,deterministic-readers
111000000,NK RK 11-2025,Кокшетау Г.А.,Көкшетау Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Кокшетауского городского маслихата Акмолинской области от 28 ноября 2025 года № С-26/2,https://adilet.zan.kz/rus/docs/G25BA00262M,deterministic-readers
